die Mutter,母
der Vater,父
die Schwester,姉、妹
die Bruber,兄、弟
die Eltern,両親
der Großvater,祖父
die Großmutter,祖母
die Tante,おば
der Onkel,おじ
die Tochter,娘
der Sohn,息子
die Geschwister,きょうだい
die Großeltern,祖父母
die Familie,家族
die Frau,女性、妻、～さん(女性に対して）
der Herr,紳士、～さん(男性に対して)
die Dame,ご婦人
der Mann,男性、夫
das Leben,人生、生活
das Baby,赤ん坊
das Kind,子供
das Mädchen,少女
der Junge,少年
heißen,(～という)名前である
der Name,名前
der FamilienName,名字
der Vorname,下の名前
die Adresse,住所
der Geburtstag,誕生日
der Beruf,職業
der Arzt,医者(男)
die Ärztin,医者(女)
der Lehrer,教師(男)
die Lehrerin,教師(女)
der Freund,友人(男)
die Freundin,友人(女)
der Gast,客、来客
die Party,パーティー
das Geschenk,贈り物
geben,(～に～を)与える
es gibt~,～がある
schenken,(～を)贈る
bekommen,(～を)もらう
besuchen,(～を)訪問する
treffen,(～に)会う
warten,(auf～を)待つ
kennen,know
helfen,help
die Sprache,言語
sprechen,話す
das Wort,語彙、単語
sagen,say
schreiben,write
die Frage,質問
fragen,(～に)質問する
die Antwort,返事、回答
antworten,答える
danken,(～に)感謝する
die Liebe,愛
lieben,(～を)愛する
wünschen,(～を)望む
froh,喜ばしい、楽しい
gern,好んで
lieber,より好んで
mögen,(～が)好きだ
gefallen,(～の)気に入る
lachen,笑う
weinen,泣く
denken,(～と)思う、考える
glauben,(～と)思う、信じる
finden,(～を)ーと思う、(～を)見つける
das Essen,食事
essen,eat
das Frühstück,朝食
frühstücken,朝食をとる
das Mittagessen,昼食
das Abendessen,夕食
der Hunger,空腹
der Durst,のどの渇き
trinken,drink
lecker,おいしい
das Brot,パン
das Brötchen,小さいパン
die Kartoffel,ジャガイモ
das Fleisch,肉
die Wurst,ソーセージ
der Fisch,魚
das Gemüse,野菜
der Salat,サラダ
die Tomate,トマト
die Suppe,スープ
der Käse,チーズ
das Ei,卵
das Obst,果物
der Apfel,りんご
die Orange,オレンジ
die Banane,バナナ
der Kuchen,ケーキ
das Eis,アイス
die Schokolade,チョコ
die Butter,バター
der Zucker,砂糖
das Salz,塩
das Wasser,水
das Mineralwasser,ミネラルウォーター
das Bier,ビール
der Wein,ワイン
die Milch,牛乳
der Saft,ジュース
der Kaffee,コーヒー
der Tee,紅茶
das Glas,グラス
die Tasse,カップ
die Flasche,瓶
die Gabel,フォーク
der Löffel,スプーン
das Messer,ナイフ
der Teller,皿
kochen,料理する
die Hose,ズボン
der Rock,スカート
die Bluse,ブラウス
das Hemd,シャツ
das T-Shirt,Tシャツ
die Jacke,上着
das Kleid,ワンピース
der Pullover,セーター
der Mantel,コート
der Hut,(縁のある)帽子
die Schuhe,靴
die Farbe,色
rot,赤い
blau,青い
gelb,黄色の
schwarz,黒い
weiß,白い
grün,緑の
braun,茶色の
grau,灰色の
die Tasche,かばん
die Brille,メガネ
tragen,(～を)運ぶ、(～を)身に付けている
das Geld,お金
der Euro,ユーロ
der Cent,セント
die Bank,銀行
wechseln,exchenge
enikaufen gehen,買い物に行く
kaufen,(～を)買う
kosten,(～の)値段がする
billig,(値段が)安い
teuer,(値段が)高い
bezaklen,(～の代金を)支払う
das Geschäft,商店
das Kaufhaus,デパート
der Supermarkt,スーパーマーケット
die Bäckerei,パン屋
der Markt,市場
das Restaurant,レストラン
das Cafe,カフェ
bestellen,(～を)注文する
zahlen,支払う
das Rathaus,市役所
die Polizei,警察
das Schloss,城
die Kirche,教会
die Park,公園
der Marktplatz,広場
die Arbeit,仕事
arbeiten,働く
die Firma,会社
das Büro,オフィス
der Urlaub,(仕事の)休暇
baden,入浴する
waschen,(～を)洗う、洗濯する
schlafen,眠る
das Haus,家
die Wohmung,住居
wohnen,住む
leben,住む、生きている
das Zimmer,部屋
das Bad,浴室
die Dusche,シャワー
die Küche,キッチン
die Toilette,トイレ
der Balkon,バルコニー
der Garten,庭
die Tür,ドア
die Wand,壁
das Fenster,窓
der Stock,階
der Tisch,机
der Stuhl,いす
das Bett,ベッド
das Sofa,ソファ
das Regal,棚
der Schrank,戸棚、タンス
die Vase,花瓶
die Welt,世界
Europa,ヨーロッパ
das Ausland,外国
das Land,国、田舎
die Stadt,町、都市
das Dorf,村
die Autobahn,高速道路
die Straße,道路、通り
der Weg,道
die Brücke,橋
der Parkplatz,駐車場
das Auto,車
der Wargen,車
das Fahrrad,自転車
das Motorrad,バイク
das Rad,車輪、自転車
der Bus,バス
die Haltstelle,停留所
die Linie,線路、列
das Taxi,タクシー
der Zug,電車
die Bahn,道路、鉄道
die U-Bahn,地下鉄
der Bahnhof,駅
die Station,駅
die Fahrkarte,乗車券
der Platz,場所
das Flugzeug,飛行機
der Flughafen,空港
das Flugticket,航空券
fliegen,飛ぶ
das Schiff,船
die Reise,旅行
reisen,旅行する
der Pass,パスポート
das Hotel,ホテル
der Sport,スポーツ
Fußball,サッカー
Tennis,テニス
das Spiel,試合、ゲーム、遊び
Ski,スキー
der Tanz,ダンス
tanzen,ダンスをする
schwimmen,水泳
laufen,走る、歩く
spazieren gehen,散歩に行く
das Hobby,趣味
die Musik,音楽
das Konzert,コンサート
die Oper,オペラ
die Geige,バイオリン
die Gitarre,ギター
das Klavier,ピアノ
singen,歌う
das Bild,絵
der Roman,長編小説
die Kamera,カメラ
das Foto,写真
fotografieren,写真を撮る、(～を)撮影する
der Film,映画
das Kino,映画館
das Museum,博物館、美術館
das Theater,劇場
das Schwimmbad,プール
das Stadion,スタジアム
der zoo,動物園
die Universität,大学
die Schule,学校
der Student,学生(男)
die Studentin,学生(女)
der Schüler,生徒(男)
die Schülerin,生徒(女)
die Klasse,クラス
der Unterricht,授業
die prüfung,試験
der Test,テスト
die Hausaufgabe,宿題
der Kurs,コース、講座、講習
die Bibliothek,図書館
die Ferien,(学校の)休暇
studiren,study
die Fremdsprache,外国語
lernen,lerne
wissen,(～を)知っている
verstehen,(～を)理解する
vergessen,(～を)忘れる
das Wörterbuch,辞書
der Bleistift,鉛筆
der Kugelschreiber,ボールペン
das Heft,ノート
das Papier,紙
das Handy,携帯電話
das Telefon,電話
telefonieren,(mit～と)電話する
die Telefonnummer,電話番号
die Post,郵便局
der Brief,手紙
die Karte,はがき、切符、カード
schicken,(～を)送る
das Radio,ラジオ
der Computer,コンピュータ
die E-Mail,Eメール
die Zeitung,新聞
das Buch,本
das Auge,目
der Fuß,足
die Hand,手
der Mund,口
der Zahn,歯
die Nase,鼻
der Kopf,頭
das Ohr,耳
die Kopfschmerzen,頭痛
das Fieber,熱
krank,病気
gesund,元気
die Tablette,錠剤
das Tier,動物
der Hund,犬
die Katze,猫
das Pferd,馬
der Vogel,鳥
das Schwein,豚
die Blume,花
der Baum,木
die Pflanze,植物
die Natur,自然
der Berg,山
der Fluss,川
das Meer,海洋
der See,湖
die See,海
der Wald,森
der Stein,石
das Wetter,天候
der Regen,雨
regnen,雨が降る
die Wolke,雲
der Schnee,雪
der Wind,風
der Mond,(天体の)月
die Sonne,太陽
scheinen,輝く
der Stern,星
heute,今日
morgen,明日
gestern,昨日
jetzt,今
der Morgen,朝
morgens,午前中に
der Tag,その日
der Abend,夕方
abends,夕方に
die Nacht,夜
nachts,夜に
das Jahr,年
der Monat,月
die Woche,1週間
das Wochenende,週末
die Zeit,時間
die Stunde,(単位としての)時間
die Minute,分
der Vormittag,午前
der Mittag,昼
der Nachmittag,午後
der Kalender,カレンダー
Weihnachten,クリスマス
das Kilogramm,キログラム
die Größe,サイズ
die Uhr,～時、時計
das Stück,一切れ
sein,～である
haben,(～を)持っている
werden,～になる
möchte,want
müssen,must
können,can
dürfen,may
wollen,will
kommen,come
gehen,go
fahren,drive
machen,do
tun,to do
nehmen,take
spielen,play
sehen,see
hören,Listen
lesen,read
beginnen,begin
zeigen,demonstrate
suchen,search
bringen,bring
holen,fetch
bleiben,stay
liegen,lie
sitzen,sit
stehen,stand
hängen,hang
brauchen,need
gehören,belong
an,(～の)近くに
auf,on
hinter,behind
in,in
neben,～の横に
über,over
unter,under
vor,in front
zwischen,between
aus,from
bei,at
mit,with
nach,after
seit,since
von,from
zu,to
bis,～まで
durch,～を通って
für,for
gegen,～のころに、～反対して
ohne,without
um,around
früh,early
spät,late
danach,after that
dann,then
gerade,ちょうど、たった今
noch,まだ
schon,もうすでに
bald,soon
gleich,すぐ、同じ
lange,long
immer,always
oft,often
selten,Rare
nie,never
einmal,once
wieder,again
schnell,fast
langsam,slow
lang,long
kurz,short
dick,thick
dünn,thin
groß,大きい、背が高い
klein,小さい、背が低い
direkt,direct
schwer,heavy
leicht,light
hoch,high
heiß,hot
warm,warm
kühl,cool
kalt,cold
laut,loud
leise,quiet
ganz,all
fast,almost
halb,half
nur,only
gar,まったく(～でない)
sehr,very
besonders,特に、非常に
genug,enough
viel,a lot of
mehr,more
wenig,little
ein bisschen,a little bit
zusammen,together
ander,ほかの、別の
hier,here
da,there
dort,there
rechts,right
links,left
mitten,in the middle
geradeaus,straight
zurück,back
hin und zurück,往復
her,こちらへ
hin,あちらへ
weit,遠い、広い
fleißig,勤勉
freundlich,friendly
nett,kind
gut,good
schlecht,bad
super,super
toll,great
wunderbar,wonderful
schön,beautiful
süß,sweet
richtig,正しい
falsch,間違え
interessant,Interesting
langweilig,boring
einfach,easy
wichtig,important
vielleicht,もしかすると
alt,old
jung,young
neu,new
arm,poor
reich,rich
glücklich,happy
müde,tired
frisch,fresh
kaputt,broken
frei,空いている、自由な
stark,strong
schwach,weak
ja,Yes
nein,No
nicht,Not
danke,Thank you
natürlich,もちろん
leider,残念ながら
schade,残念
klar,clear
genau,ちょうど、まさに
auch,also
sonst,さもないと、そのほかに
wirklich,本当に
doch,しかし、いいえ
so,so
mein,my
dein,君の
ihr,their
sein,his
unser,our
euer,君たちの
Ihr,あなたの
dieser,this
jeder,every
alle,all
das,それ、これ、あれ
man,man
nichts,Nothing
etwas,something
wann,when
wo,Where
woher,どこから
wohin,どこへ
warum,Why
wie,how
was,What
wer,who
aber,but
und,and
oder,or
denn,because
also,so
Montag,Monday
Dienstag,Tuesday
Mittwoch,Wednesday
Donnerstag,Thursday
Freitag,Friday
Samstag,Saturday
Sonntag,Sunday
Januar,January
Febuar,Febuary
März,March
April,April
Mai,May
Juni,June
Juli,July
August,August
September,September
Oktober,October
November,November
Dezember,December
Frühling,春
Sommer,夏
Herbst,秋
Winter,冬
